date,time_point,session,group,subject,room,sick_severity,heat,test_day,test_tp,rank,observer,keeper,task,trial,correct_location,pick,search_1,search_2,search_3,condition,code,experimenter,in_leipzig,birth_date,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors
20220520,1,3,a_chimp,frodo,sleep_room,0,no,yes,41,1,"fraukje, carola",nico,inhibit_searched,12,NA,NA,2,3,1,NA,0,nico,20010228,19931128,m,mother,28.468172484599588,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,1,NA,NA,3,1,2,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,2,NA,NA,3,1,2,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,3,NA,NA,1,3,2,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,4,NA,NA,2,1,3,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,5,NA,NA,3,2,1,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,6,NA,NA,2,1,3,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,7,NA,NA,2,1,3,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,8,NA,NA,2,3,1,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,tai,sleep_room,0,no,yes,39,4,sandra,nico,inhibit_searched,9,NA,NA,2,1,3,NA,0,nico,20020812,20020812,f,mother,19.76454483230664,19.76454483230664,no,0,0,yes,0.029411764705882415,5,2.958823529411761
